application_id,applicant_id,pet_id,application_date,status,reason,reviewed_date,reviewer_name,decision_note
1,7,18,2025-10-11 20:23,Under Review,Love animals,,Hannah Brooks,
2,12,18,2025-05-10 20:39,Rejected,Family companion,2025-05-20 02:07,Hannah Brooks,Rejected due to fit
3,9,3,2025-09-05 07:06,Approved,Family companion,2025-09-10 12:11,Hannah Brooks,Approved - suitable home
4,10,2,2025-09-30 06:58,Approved,Looking for pet,2025-10-05 05:49,Hannah Brooks,Approved - suitable home
5,12,11,2025-06-25 09:41,Rejected,Looking for pet,2025-07-12 02:32,Hannah Brooks,Rejected due to fit
6,1,15,2025-08-01 00:08,Approved,Family companion,2025-08-10 00:53,Marcus Reed,Approved
7,15,8,2025-07-28 22:21,Rejected,Love animals,2025-10-16 18:44,Priya Nair,Rejected due to fit
8,14,18,2025-07-10 11:19,Under Review,Love animals,,Hannah Brooks,
9,5,20,2025-07-25 11:39,Rejected,Love animals,2025-09-27 11:39,Hannah Brooks,Rejected due to fit
10,2,14,2025-11-23 03:40,Approved,Family companion,2025-11-25 02:46,Hannah Brooks,Approved - suitable home
11,8,18,2025-10-22 21:57,Under Review,Family companion,,Hannah Brooks,
12,10,18,2025-06-01 10:12,Rejected,Love animals,2025-06-10 07:35,Hannah Brooks,Rejected due to housing
13,11,8,2025-10-12 08:35,Rejected,Child friendly,2025-10-22 10:11,Priya Nair,Rejected due to housing
14,14,6,2025-09-15 07:47,Approved,Looking for pet,2025-09-22 02:03,Hannah Brooks,Good candidate
15,13,8,2025-07-02 14:07,Approved,Family companion,2025-07-08 09:14,Priya Nair,Approved - suitable home
