followup_id,adoption_id,followup_date,followup_type,pet_condition,adopter_feedback,result_status,staff_note
1,1,2025-09-27 09:36,Phone Check,Stable,Great companion,Good,Good progress
2,1,2026-02-16 02:42,Home Visit,Improving,Loving pet,Good,All good
3,1,2026-01-04 18:16,Vet Check,Stable,Great companion,Good,All good
4,2,2025-10-18 15:24,Home Visit,Improving,Loving pet,Excellent,Regular check needed
5,2,2025-12-29 18:44,Phone Check,Good,Good adjustment,Excellent,Pet doing well
6,2,2025-11-26 20:44,Vet Check,Healthy,Great companion,Needs Improvement,Regular check needed
7,3,2026-02-05 01:18,Vet Check,Stable,Good adjustment,Good,Pet doing well
8,3,2025-09-16 13:36,Vet Check,Good,Good adjustment,Needs Improvement,Pet doing well
9,3,2025-11-28 13:22,Home Visit,Stable,Good adjustment,Needs Improvement,Good progress
10,4,2026-04-08 03:02,Vet Check,Stable,Good adjustment,Needs Improvement,All good
11,4,2025-12-03 03:02,Phone Check,Improving,Great companion,Good,Good progress
12,5,2025-11-13 05:58,Vet Check,Good,Loving pet,Needs Improvement,All good
13,5,2025-10-15 21:45,Vet Check,Improving,Great companion,Good,All good
14,6,2025-11-10 04:04,Home Visit,Stable,Great companion,Satisfactory,All good
15,6,2026-02-21 07:32,Home Visit,Good,Great companion,Needs Improvement,Pet doing well
16,6,2026-02-03 11:32,Vet Check,Healthy,Loving pet,Satisfactory,All good
